NamaPantai,Tahun,Luas
Pantai Tamban,2018,207269.65
Pantai  Sempu,2018,9464366.59
Pantai Goa Cina,2018,55843.19
Pantai Balekambang,2018,2148182.44
Pantai Ngliyep,2018,2814491.83
Pantai Sendang Biru,2018,24759148.26
Pantai Jembatan Panjang,2018,29660.40
Pantai Kondang Merak,2018,25392.86
Pantai Bajul Mati,2018,173549.55
Pantai Modangan,2018,35194.51
Pantai Jonggring Saloko,2018,40031.54
Pantai Bantol,2018,142772.07
Pantai Kondang Iwak Sumberpucung,2018,55663.73
Pantai Wonogoro,2018,50046.38
Pantai Tambaksari,2018,40353.08
Pantai Lenggoksono,2018,96007.63
Pantai Sipelot,2018,28701.00
Pantai Licin,2018,3255.39
Pantai Tamban,2019,208311.20
Pantai  Sempu,2019,9479533.85
Pantai Goa Cina,2019,55383.50
Pantai Balekambang,2019,2161149.34
Pantai Ngliyep,2019,2770169.13
Pantai Sendang Biru,2019,25264437.00
Pantai Jembatan Panjang,2019,29416.25
Pantai Kondang Merak,2019,25649.35
Pantai Bajul Mati,2019,172120.94
Pantai Modangan,2019,34336.11
Pantai Jonggring Saloko,2019,39702.01
Pantai Bantol,2019,141596.81
Pantai Kondang Iwak Sumberpucung,2019,55205.52
Pantai Wonogoro,2019,49634.42
Pantai Tambaksari,2019,40020.90
Pantai Lenggoksono,2019,95217.32
Pantai Sipelot,2019,28701.00
Pantai Licin,2019,3228.59
Pantai Tamban,2020,209357.99
Pantai  Sempu,2020,9494725.41
Pantai Goa Cina,2020,54927.60
Pantai Balekambang,2020,2174194.50
Pantai Ngliyep,2020,2726544.42
Pantai Sendang Biru,2020,25780037.76
Pantai Jembatan Panjang,2020,29174.10
Pantai Kondang Merak,2020,25908.44
Pantai Bajul Mati,2020,170704.10
Pantai Modangan,2020,33498.64
Pantai Jonggring Saloko,2020,39375.20
Pantai Bantol,2020,140431.23
Pantai Kondang Iwak Sumberpucung,2020,54751.09
Pantai Wonogoro,2020,49225.84
Pantai Tambaksari,2020,39691.47
Pantai Lenggoksono,2020,94433.52
Pantai Sipelot,2020,28701.00
Pantai Licin,2020,3202.01
Pantai Tamban,2021,210410.04
Pantai  Sempu,2021,9509941.32
Pantai Goa Cina,2021,54475.46
Pantai Balekambang,2021,2187318.41
Pantai Ngliyep,2021,2683606.71
Pantai Sendang Biru,2021,26306160.98
Pantai Jembatan Panjang,2021,28933.95
Pantai Kondang Merak,2021,26170.14
Pantai Bajul Mati,2021,169298.92
Pantai Modangan,2021,32681.60
Pantai Jonggring Saloko,2021,39051.08
Pantai Bantol,2021,139275.25
Pantai Kondang Iwak Sumberpucung,2021,54300.40
Pantai Wonogoro,2021,48820.63
Pantai Tambaksari,2021,39364.74
Pantai Lenggoksono,2021,93656.18
Pantai Sipelot,2021,28701.00
Pantai Licin,2021,3175.66
Pantai Tamban,2022,211467.38
Pantai  Sempu,2022,9525181.61
Pantai Goa Cina,2022,54027.03
Pantai Balekambang,2022,2200521.54
Pantai Ngliyep,2022,2641345.19
Pantai Sendang Biru,2022,26843021.41
Pantai Jembatan Panjang,2022,28695.77
Pantai Kondang Merak,2022,26434.48
Pantai Bajul Mati,2022,167905.30
Pantai Modangan,2022,31884.49
Pantai Jonggring Saloko,2022,38729.62
Pantai Bantol,2022,138128.78
Pantai Kondang Iwak Sumberpucung,2022,53853.41
Pantai Wonogoro,2022,48418.76
Pantai Tambaksari,2022,39040.70
Pantai Lenggoksono,2022,92885.23
Pantai Sipelot,2022,28701.00
Pantai Licin,2022,3149.52
Pantai Tamban,2023,212530.03
Pantai  Sempu,2023,9540446.32
Pantai Goa Cina,2023,53582.30
Pantai Balekambang,2023,2213804.37
Pantai Ngliyep,2023,2599749.20
Pantai Sendang Biru,2023,27390838.17
Pantai Jembatan Panjang,2023,28459.56
Pantai Kondang Merak,2023,26701.50
Pantai Bajul Mati,2023,166523.16
Pantai Modangan,2023,31106.82
Pantai Jonggring Saloko,2023,38410.81
Pantai Bantol,2023,136991.75
Pantai Kondang Iwak Sumberpucung,2023,53410.11
Pantai Wonogoro,2023,48020.19
Pantai Tambaksari,2023,38719.33
Pantai Lenggoksono,2023,92120.63
Pantai Sipelot,2023,28699.00
Pantai Licin,2023,3123.59
